year,group,count,share
1990,christianity,4470527,0.8943776485562205
1990,islam,810,0.000162049327815387
1990,none,510516,0.10213428967777792
1990,other,16625,0.0033260124381861837
1991,christianity,4473150,0.8894707140701077
1991,islam,813,0.00016166229402971008
1991,none,533489,0.10608247918771956
1991,other,21550,0.004285144448142992
1992,christianity,4466764,0.8836359852517773
1992,islam,911,0.0001802182480570653
1992,none,565344,0.11183897390732549
1992,other,21963,0.004344822592840093
1993,christianity,4458309,0.877980752718834
1993,islam,936,0.00018432773155580484
1993,none,596538,0.11747702599021015
1993,other,22129,0.004357893559400005
1994,christianity,4466002,0.8759006612203687
1994,islam,976,0.0001914193153856805
1994,none,609558,0.11955038427035311
1994,other,22218,0.004357535193892469
1995,christianity,4473926,0.8743557041025042
1995,islam,980,0.00019152498052503643
1995,none,619626,0.12109577304367981
1995,other,22294,0.004356997873290982
1996,christianity,4482010,0.87329122112417
1996,islam,996,0.00019406428281946566
1996,none,626955,0.1221582052561025
1996,other,22359,0.0043565093369080645
1997,christianity,4489558,0.872207810272822
1997,islam,999,0.00019408048686809463
1997,none,634437,0.12325509694407742
1997,other,22355,0.004343012296232488
1998,christianity,4493232,0.8708411391014035
1998,islam,1057,0.0002048590155216075
1998,none,641687,0.12436647785526371
1998,other,23670,0.00458752402781121
1999,christianity,4493824,0.8689927604305453
1999,islam,1096,0.0002119388888910375
1999,none,652590,0.12619452509252022
1999,other,23792,0.004600775588043398
2000,christianity,4496229,0.8678110792754069
2000,islam,1199,0.0002314173686552026
2000,none,659979,0.1273816543350225
2000,other,23708,0.004575849020915382
2001,christianity,4497370,0.865727758815808
2001,islam,2197,0.00042291470039563795
2001,none,671690,0.12929794042273376
2001,other,23644,0.004551386061062569
2002,christianity,4495907,0.8635521037513241
2002,islam,2442,0.00046904756645560806
2002,none,684394,0.13145509426569182
2002,other,23552,0.004523754416528453
2003,christianity,4486548,0.8595360834617563
2003,islam,2746,0.000526080649351346
2003,none,706898,0.13542802580668892
2003,other,23540,0.0045098100822034545
2004,christianity,4477249,0.8549898016102399
2004,islam,2991,0.000571170934789695
2004,none,732794,0.1399366880602741
2004,other,23577,0.004502339394696303
2005,christianity,4466128,0.8497878445385666
2005,islam,4237,0.0008061907534468127
2005,none,761522,0.14489780385799475
2005,other,23693,0.004508160849991818
2006,christianity,4450077,0.8433039508580232
2006,islam,4942,0.0009365249466785296
2006,none,798242,0.15126943474030005
2006,other,23694,0.0044900894549981946
2007,christianity,4430362,0.8358410288569874
2007,islam,5687,0.0010729208879792864
2007,none,840723,0.1586124965191858
2007,other,23712,0.004473553735847519
2008,christianity,4397008,0.8255254947417671
2008,islam,6822,0.0012808107069917395
2008,none,898828,0.16875234918557186
2008,other,23656,0.004441345365669392
2009,christianity,4372848,0.8171368122932444
2009,islam,8230,0.0015379075525088915
2009,none,945330,0.17665007856782874
2009,other,25019,0.004675201586417978
2010,christianity,4308342,0.8015108433501833
2010,islam,9393,0.0017474451544441626
2010,none,1032429,0.1920699513848219
2010,other,25112,0.004671760110550602
2011,christianity,4278219,0.7920769330603357
2011,islam,10088,0.0018677099280594719
2011,none,1087972,0.20142903507639967
2011,other,24988,0.004626321935205202
2012,christianity,4251545,0.7834531796087253
2012,islam,10596,0.001952577213961996
2012,none,1139730,0.21002367195818286
2012,other,24803,0.004570571219129802
2013,christianity,4211277,0.7725313550787247
2013,islam,11125,0.0020408088390411775
2013,none,1203687,0.2208085455315917
2013,other,25181,0.004619290550642328
2014,christianity,4147658,0.758012651521368
2014,islam,12327,0.0022528429188963758
2014,none,1286458,0.23510893126937565
2014,other,25310,0.004625574290359963
2015,christianity,4112681,0.7494897315769409
2015,islam,13289,0.0024217703835833528
2015,none,1336106,0.24349025059282256
2015,other,25232,0.004598247446653258
2016,christianity,4069236,0.7394178435218016
2016,islam,14141,0.0025695505803157636
2016,none,1394933,0.25347223673372526
2016,other,24987,0.004540369164157413
2017,christianity,4021460,0.7294331894948968
2017,islam,15359,0.002785894763954414
2017,none,1450738,0.26314235289209575
2017,other,25573,0.004638562849053078
2018,christianity,3965115,0.718588837567206
2018,islam,16057,0.0029099738506491307
2018,none,1511433,0.27391358952532646
2018,other,25314,0.00458759905681834
2019,christianity,3909054,0.7074836949793785
2019,islam,16674,0.00301775906142155
2019,none,1574392,0.28494276863557616
2019,other,25172,0.004555777323623801
