religion_category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
TOTAL,4998478,5029002,5054982,5077912,5098754,5116826,5132320,5147349,5159646,5171302,5181115,5194901,5206295,5219732,5236611,5255580,5276955,5300484,5326314,5351427,5375276,5401267,5426674,5451270,5471753,5487308,5503297,5513130,5517919,5525292
INDIGENEOUS_RELIGIONS_AND_NEO_PAGANISM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,35,42,52,60,60
BUDDHISM,0,0,0,0,0,0,0,0,7,22,26,38,40,39,40,68,75,110,103,353,509,509,538,877,887,956,1036,1814,1777,1792
HINDUISM,9,9,19,28,29,30,34,33,29,37,37,44,47,64,64,66,89,93,98,98,91,98,96,127,300,324,345,353,358,367
ISLAM,810,813,911,936,976,980,996,999,1057,1096,1199,2197,2442,2746,2991,4237,4942,5687,6822,8230,9393,10088,10596,11125,12327,13289,14141,15359,16057,16674
JUDAISM,1006,1056,1100,1119,1136,1135,1165,1148,1157,1165,1157,1170,1171,1189,1203,1184,1194,1181,1230,1236,1208,1198,1188,1170,1145,1133,1110,1093,1096,1101
CHRISTIANITY_TOTAL,4470527,4473150,4466764,4458309,4466002,4473926,4482010,4489558,4493232,4493824,4496229,4497370,4495907,4486548,4477249,4466128,4450077,4430362,4397008,4372848,4308342,4278219,4251545,4211277,4147658,4112681,4069236,4021460,3965115,3909054
CHRISTIANITY_Adventism,4805,4767,4783,4763,4731,4671,4593,4483,4423,4406,4316,4281,4191,4099,4031,4015,3986,3821,3751,3688,3648,3553,3474,3413,3429,3458,3414,3362,3283,3257
CHRISTIANITY_Anglican_churches,94,93,93,93,94,93,97,95,94,92,95,99,97,99,97,93,88,89,88,89,88,84,91,116,138,151,171,173,171,195
CHRISTIANITY_Baptism,2565,2469,2465,2456,2444,2409,2393,2368,2333,2474,2437,2448,2474,2489,2495,2472,2481,2462,2442,2435,2419,2383,2395,2373,2585,2657,2540,2505,2471,2456
CHRISTIANITY_Evangelical_Lutheran_free_congregations,1079,1074,1063,1084,1083,1055,1046,1039,1048,1044,1033,1026,1012,1019,1012,1031,1032,1017,1008,1006,994,984,980,984,987,977,945,927,933,933
CHRISTIANITY_Pentecostalism,15,15,19,18,18,18,15,15,18,19,20,20,23,1000,1294,1992,2516,3486,4681,5473,6312,6909,7477,7855,8402,8762,9055,9936,11791,12501
CHRISTIANITY_Roman_Catholic_Church,4247,4525,4885,5300,5599,5916,6232,6533,6776,7043,7227,7413,7643,7897,8094,8446,8783,9184,9672,10090,10640,11091,11530,11994,12554,13069,13528,14034,14357,14224
CHRISTIANITY_Methodism,1266,1259,1252,1270,1257,1259,1261,1265,1278,1278,1260,1249,1257,1244,1250,1256,1281,1267,1279,1301,1301,1342,1352,1400,1413,1415,1424,1434,1381,1403
CHRISTIANITY_Greek_Orthodox_Church,53427,53634,53786,53921,54421,54770,54951,55360,55850,56316,56807,57364,57973,58453,59078,59558,60018,60382,60536,60765,60851,61183,61506,61608,61574,61690,61529,61441,61112,60567
CHRISTIANITY_Evangelical_Lutheran_Church_of_Finland,4390739,4392900,4385694,4376477,4383259,4390550,4398158,4405073,4408053,4407725,4409576,4410043,4407755,4396813,4386336,4373556,4355949,4334586,4299186,4273425,4207192,4175443,4147371,4106025,4040787,4004369,3960453,3911260,3853106,3796918
CHRISTIANITY_Free_churches,12266,12390,12699,12897,13070,13157,13236,13298,13331,13398,13431,13399,13453,13402,13519,13663,13895,14022,14233,14293,14485,14789,14932,15064,15191,15409,15376,15397,15312,15205
CHRISTIANITY_Other_Christian,24,24,25,30,26,28,28,29,28,29,27,28,29,33,43,46,48,46,132,283,412,458,437,445,598,724,801,991,1198,1395
OTHER_RELIGIOUS_GROUPS_TOTAL,15610,20485,20844,20982,21053,21129,21160,21174,22477,22568,22488,22392,22294,22248,22270,22375,22336,22328,22225,23332,23304,23183,22981,23007,22949,22784,22454,22261,22023,21852
OTHER_RELIGIOUS_GROUPS_Bahai_communities,403,403,438,445,434,437,443,468,471,475,469,466,464,464,501,523,528,534,554,547,568,560,557,566,666,670,667,656,654,655
OTHER_RELIGIOUS_GROUPS_Jehovahs_Witnesses,12157,17013,17301,17357,17347,17402,17379,17301,18562,18592,18492,18390,18280,18245,18239,18329,18306,18177,18025,19142,19094,19001,18826,18697,18467,18286,17979,17685,17303,17083
OTHER_RELIGIOUS_GROUPS_Church_of_Jesus_Christ_of_Latter_day_Saints,2883,2905,2941,3015,3101,3110,3153,3215,3235,3287,3307,3321,3331,3317,3315,3301,3282,3264,3251,3239,3225,3208,3181,3282,3284,3259,3235,3314,3275,3269
OTHER_RELIGIOUS_GROUPS_Christian_Community_of_Finland,36,35,34,37,38,46,47,45,64,66,71,68,73,75,76,78,77,209,251,259,275,275,280,283,286,290,283,290,290,291
OTHER_RELIGIOUS_GROUPS_Liberal_Catholic_Church,130,128,129,127,132,133,137,139,140,143,144,142,139,140,132,137,136,137,137,138,135,132,130,135,134,139,138,135,132,125
