Country or Territory,Population,2014 Peak Pubs.,Ratio 1 Publisher to,2014 Av. Pubs.,% Inc. Over 2013,2013 Av. Pubs.,2014 No. Bptzd.,Av. Aux. Pio. Pubs.,Av. Pio. Pubs.,No. of Congs.,Total Hours,Av. Bible Studies,Memorial Attendance
Albania,3204000,5351,599,5190,5,4923,267,766,1175,82,1976622,6349,13151
American Samoa,56608,233,243,218,2,213,6,12,31,3,59659,331,832
Andorra,78000,175,446,169,4,163,,16,18,3,36336,101,328
Angola,19813180,108607,182,102753,9,94182,7025,6788,12329,1432,28709394,449984,414639
Anguilla,13400,80,168,64,-6,68,3,3,2,12,353,90,315
Antigua,81000,490,165,478,-1,481,15,37,42,7,101,558,512,1308
Argentina,42670000,150171,284,145277,1,143620,4764,14596,18859,1984,35508416,126661,307654
Armenia,3026900,11143,272,10978,,10965,389,1339,2205,135,3522853,7570,23844
Aruba,107397,965,111,931,2,915,29,65,67,12,176443,999,2772
Australia,23595521,68635,344,66484,1,65596,1275,5364,5472,788,12541068,29431,117122
Austria,8504850,21319,399,20990,1,20873,416,1588,1372,298,3852446,11668,34521
Azerbaijan,9477100,1282,7392,1220,6,1149,42,183,296,12,481152,1864,2616
Azores,247599,762,325,748,,748,27,64,86,15,184920,861,1761
Bahamas,382600,1875,204,1630,2,1594,42,132,209,27,395533,2106,4604
Bangladesh,151125475,233,648607,211,17,181,14,16,71,5,85860,464,764
Barbados,285916,2606,110,2524,1,2492,51,232,209,30,492637,2371,6608
Belarus,9468000,5767,1642,5579,5,5300,212,651,1245,72,1964128,5008,10247
Belgium,11132269,25839,431,24531,1,24243,516,1855,1579,374,4266059,10598,44635
Belize,340400,2552,133,2425,3,2352,105,193,451,59,722694,4176,8599
Benin,10703000,12167,880,11352,4,10872,635,1028,1492,175,3325248,27927,43619
Bermuda,65500,544,120,463,1,457,20,31,81,5,120886,334,1036
Bolivia,10027254,24850,404,23976,4,23014,1185,2966,4298,305,7776518,41357,76283
Bonaire,18779,132,142,116,5,110,8,12,2,27457,162,347
Bosnia and Herzegovina,3871643,1212,3194,1180,,1182,68,132,189,16,352300,593,2123
Botswana,2039000,2216,920,2122,3,2070,94,195,256,48,563690,4404,6531
Brazil,203067835,794766,256,767449,2,748940,29870,60096,84550,11562,170475134,841136,1728208
Britain,62300000,138515,450,134308,1,132515,2928,10143,12187,1571,25243619,58890,230577
Bulgaria,7284500,2241,3251,2149,6,2026,67,191,559,50,816510,3019,5954
Burkina Faso,17581000,1767,9950,1598,2,1563,77,146,257,44,500157,3235,5425
Burundi,9069000,12773,710,11852,7,11082,870,1293,1702,256,3991209,34599,55203
Cambodia,14364931,852,16860,802,17,684,43,47,449,14,423768,2147,2012
Cameroon,20653254,39121,528,37319,3,36288,1228,2720,3802,329,9375553,72194,97497
Canada,35427524,116312,305,113617,,113111,2049,10304,11849,1390,23680391,53048,188202
Cape Verde,538535,2086,258,2042,2,1995,77,162,408,35,641421,4410,8119
Cayman Islands,59200,237,250,228,2,223,5,18,34,3,58728,236,703
Central African Republic,4616417,2585,1786,2471,-1,2491,123,170,303,53,651614,6778,12736
Chad,12825314,749,17123,646,3,628,39,38,73,17,168213,1178,4328
Chile,17556815,78472,224,74498,1,73658,2491,8094,11074,933,19940484,65537,178353
Chuuk,48651,58,839,48,9,44,4,6,11,1,20129,154,233
Colombia,48771000,166049,294,161876,3,157395,7614,12168,22337,2477,40758876,229723,510217
"Congo, Dem. Republic of",69360118,216024,321,180343,3,174687,11052,10417,18462,3515,44544518,559642,1152535
"Congo, Republic of",4558594,7928,575,6193,6,5835,354,494,453,77,1601951,21412,27932
Cook Islands,13979,222,63,194,2,190,5,17,20,3,42252,203,469
Costa Rica,4943000,29890,165,29086,3,28169,863,1429,3337,433,6446313,34861,69247
"Côte d'Ivoire",21752000,10660,2041,9781,6,9509,630,980,1523,286,3175937,27695,70244
Croatia,4470534,5489,814,5412,-2,5509,93,568,479,67,1204236,2344,9315
Cuba,11167325,96263,116,95592,,95656,2987,9292,9628,1486,20767619,177524,238497
Curaçao,154843,1969,79,1931,3,1883,71,136,176,25,393527,2326,5444
Cyprus,885600,2526,351,2467,,2468,85,261,343,36,636789,1763,4683
Czech Republic,10521646,15617,674,15407,1,15297,291,847,1077,226,2636242,7274,26177
Denmark,5639719,14664,385,14462,1,14462,140,719,923,179,2415133,6023,21527
Dominica,74000,445,166,423,-1,427,9,31,62,10,112970,694,1448
Dominican Republic,10404000,38161,273,36240,3,35231,1445,2490,7337,567,11606518,69892,120103
Ecuador,15983000,85344,187,82547,4,79566,2999,7655,13895,951,23592416,142223,271240
El Salvador,6387000,40128,159,39346,2,38643,1018,3273,4607,676,9147909,45744,96113
Equatorial Guinea,722254,1690,427,1574,9,1442,120,119,206,15,471765,5264,5851
Estonia,1315819,4186,314,4091,,4108,91,336,489,53,883447,2708,6875
Ethiopia,87500000,10168,8605,9768,3,9515,513,972,2255,214,3406954,7465,25289
Falkland Islands,2840,11,258,10,-9,11,1,1,1,1768,9,23
Faroe Islands,49947,121,413,117,4,112,1,11,30,4,34642,94,197
Fiji,881065,3063,288,2938,5,2807,58,244,466,73,770319,4676,12334
Finland,5451270,18710,291,18588,,18588,221,746,2001,303,3069284,10468,25924
France,63928608,127961,500,124298,2,122456,2505,11165,13808,1666,28115751,56777,220643
French Guiana,239849,2402,100,2288,3,2211,100,210,353,43,682989,4975,8635
Gabon,1672597,4092,409,3816,5,3641,163,281,500,37,1117121,8319,12367
Gambia,1915226,231,8291,208,2,204,13,18,35,4,67217,420,643
Georgia,4490500,18595,241,18100,1,17964,586,1699,2995,220,4660915,9021,32731
Germany,80780728,166262,486,163246,,162459,2998,10776,11857,2201,29429812,76740,270683
Ghana,26781812,125443,213,119199,5,113392,6257,7311,11702,1757,29437338,382408,347725
Gibraltar,29000,138,210,124,9,114,7,11,21,2,32214,52,203
Greece,10787690,28832,374,28677,,28804,649,2404,4129,387,6848888,13483,48218
Greenland,56295,150,375,145,-1,147,3,11,22,6,33822,133,308
Grenada,111000,599,185,578,5,553,11,49,75,10,140503,719,1677
Guadeloupe,411507,8339,49,8025,,7993,212,621,579,125,1549265,8588,19528
Guam,159358,750,212,733,,730,26,51,123,9,196799,982,1908
Guatemala,15892000,38266,415,37192,4,35598,1786,3086,5329,775,9737005,49355,99410
Guinea,11750000,767,15319,737,4,708,42,52,123,18,227533,1845,3280
Guinea-Bissau,1762595,141,12501,133,2,130,10,14,36,2,63539,467,702
Guyana,787503,2999,263,2846,3,2758,151,262,393,45,694445,4723,12002
Haiti,9993000,20180,495,18899,4,18236,1239,1631,2636,258,5177725,39239,82240
Honduras,8274000,22812,363,22077,4,21165,908,1929,4025,398,6786744,350287,69777
Hong Kong,7234800,5747,1259,5557,2,5535,262,609,989,68,1696779,6382,10619
Hungary,9877000,23181,426,22444,,22526,630,1995,1952,293,4795462,12825,41952
Iceland,317351,376,844,368,-1,370,5,36,50,7,84363,270,670
India,1264216000,41310,30603,39355,7,36696,2902,3116,6196,587,10070577,54005,120601
Indonesia,250000000,25760,9705,24489,4,23489,1066,2193,3269,465,6808314,31168,55864
Ireland,6632765,6428,1032,6210,2,6087,120,336,884,119,1424752,3563,11779
Israel,8357855,1502,5564,1450,4,1396,42,95,220,26,392851,1262,3242
Italy,60782668,251650,242,248871,1,247759,4911,18696,33944,2997,60979620,119827,435046
Jamaica,2798800,12126,231,11889,,11843,412,915,1490,187,2570175,13530,37981
Japan,127352833,215703,590,215294,,215966,2435,24858,65668,3057,82530612,166209,307071
Kazakhstan,17098546,17843,958,17475,1,17321,624,1896,3278,240,5236585,13425,31870
Kenya,44611800,27491,1623,25820,3,24965,1435,1673,3444,596,6891729,44736,67780
Kiribati,103618,189,548,142,6,134,11,27,43,3,62803,409,418
"Korea, Republic of",49512000,100641,492,100289,,100289,3045,9579,39347,1358,46188497,79826,134894
Kosovo,2350000,240,9792,237,7,236,6,16,85,6,113454,483,574
Kosrae,6616,21,315,17,-19,20,3,3,7,1,8413,56,118
Kyrgyzstan,5776600,5086,1136,4936,1,4886,202,437,1058,67,1541668,5297,10838
Latvia,2001468,2303,868,2296,,2296,47,149,347,36,594514,2058,3750
Lebanon,4831233,3702,1305,3659,,3659,66,191,183,57,595115,2206,6533
Lesotho,2098000,4123,509,3871,6,3640,182,246,415,87,919460,6641,9946
Liberia,3958000,6471,647,6022,3,5843,317,364,725,125,1727599,20357,76130
Liechtenstein,37132,91,408,88,-1,89,6,3,1,11263,45,136
Lithuania,2928897,3184,920,3130,,3130,68,192,474,50,796224,2655,5018
Luxembourg,549680,2068,266,2028,2,2028,6,113,126,32,363097,1118,3895
Macao,607500,310,1960,298,5,298,13,19,69,4,103742,356,715
Macedonia,2091719,1342,1559,1323,,1323,37,100,194,24,357297,1040,2903
Madagascar,22752887,29963,759,29385,7,29385,1780,1633,5198,696,9133114,79143,131087
Madeira,263091,1156,228,1134,,1134,23,78,103,17,251283,825,1935
Malawi,16888569,91921,184,82671,3,82671,5958,3303,6547,1447,15775188,116274,296711
Malaysia,30273416,4803,6303,4668,5,4668,175,288,1263,116,1639860,8671,12539
Mali,15963616,348,45872,286,4,286,23,26,55,7,112954,854,1163
Malta,425000,663,641,623,8,623,18,29,75,8,123877,235,1192
Marshall Islands,69747,193,361,171,-2,171,9,13,31,4,52953,474,914
