Country or Territory,Population,2017 Peak Pubs.,Ratio 1 Publisher to,% Inc. Over 2016,2017 No. Bptzd.,Av. Pio. Pubs.,No. of Congs.,Memorial Attendance
Albania,3204000,5637,568,2,230,1351,89,11927
American Samoa,55519,189,294,-11,38,3,,625
Andorra,72280,178,406,9,1,18,3,352
Angola,26849678,143322,187,12,11758,19631,1913,617099
Anguilla,17087,81,211,3,1,10,2,297
Antigua,91889,485,189,1,15,49,7,1398
Argentina,44044811,150823,292,1,3962,24676,1999,312070
Armenia,2986500,10974,272,-1,295,2221,134,21874
Aruba,105000,1072,98,3,34,87,14,2879
Australia,24658074,67748,364,1,1272,6348,798,116274
Austria,8773686,21567,407,,411,1667,301,34712
Azerbaijan,9810000,1414,6938,2,72,349,14,2865
Azores,245283,755,325,1,25,90,15,1512
Bahamas,395000,1702,232,-1,43,244,27,4375
Bangladesh,161200886,307,525084,9,6,138,6,976
Barbados,292336,2529,116,-1,48,206,30,6003
Belarus,9495500,5913,1606,,186,1205,78,9767
Belgium,11322088,25480,444,,404,1864,348,42998
Belize,375200,2628,143,1,52,516,61,8348
Benin,11458611,12939,886,3,663,1663,202,43514
Bermuda,61000,480,127,-3,6,89,5,990
Bolivia,11145770,27699,402,4,976,5947,372,80663
Bonaire,25000,131,191,-9,14,2,,333
Bosnia and Herzegovina,3531159,1144,3087,-2,4,192,16,1855
Botswana,2351673,2245,1048,3,68,295,44,6550
Brazil,208053804,858799,242,4,31740,106202,12135,1822259
Britain,64311135,137468,468,,2216,14302,1626,222201
Bulgaria,7085000,2475,2863,2,51,690,56,5327
Burkina Faso,19173322,1863,10292,4,69,279,46,5009
Burundi,9564000,13927,687,3,768,2091,267,51909
Cambodia,15517635,1120,13855,10,42,617,14,2791
Cameroon,24994885,43092,580,2,1517,4945,461,100674
Canada,36766975,115580,318,,1902,12939,1406,183587
Cape Verde,560899,2239,251,2,103,423,33,7374
Cayman Islands,62000,257,241,3,6,31,3,631
Central African Republic,4659000,2763,1686,3,182,326,53,17255
Chad,14900000,863,17265,13,59,76,18,4312
Chile,18373917,78603,234,1,1872,13201,991,175877
Chuuk,48651,46,1058,-7,15,2,,225
Colombia,49465000,173802,285,2,6380,27056,2359,515800
"Congo, Dem. Republic of",82800771,216696,382,-2,14276,20685,3763,1156482
"Congo, Republic of",4893896,7270,673,10,416,607,81,31230
Cook Islands,18100,213,85,1,1,30,3,547
Costa Rica,4909600,31423,156,2,1159,3654,447,71445
"Côte d'Ivoire",23865304,11948,1997,3,498,1682,324,75233
Croatia,4284889,5206,823,-3,85,478,60,7944
Cuba,11475982,95385,120,,2780,10307,1569,220661
Curaçao,161000,2123,76,,49,233,26,5310
Cyprus,885600,2600,341,1,65,454,40,4709
Czech Republic,10588063,15587,679,,226,1263,219,25837
Denmark,5760694,14669,393,,194,1026,175,21301
Dominica,73897,453,163,-4,6,74,10,1365
Dominican Republic,10800857,38286,282,1,1449,7487,585,120171
Ecuador,16626000,92752,179,3,3552,16824,1074,267182
El Salvador,6168800,41424,149,1,1036,5625,709,90332
Equatorial Guinea,778358,2147,363,9,142,255,17,7670
Estonia,1315635,4053,325,,61,516,56,6159
Ethiopia,100000000,10355,9657,1,392,2454,222,24910
Falkland Islands,2910,11,265,,1,1,,23
Faroe Islands,50030,130,385,-3,1,28,4,186
Fiji,902547,3278,275,3,152,489,80,11986
Finland,5508714,18372,300,-1,236,2105,291,25447
France,64979548,128980,504,1,2472,15219,1708,220124
