Country or Territory,Population,2024 Peak Pubs.,Ratio 1 Publisher to,2024 Av. Pubs.,% Inc. Over 2023,2024 No. Bptzd.,Av. Pio. Pubs.,No. of Congs.,Av. Bible Studies,Memorial Attendance
Albania,2402000,5380,449,5352,-1,137,1381,78,3229,10447
American Samoa,44000,152,324,136,10,5,31,3,126,545
Andorra,86000,165,534,161,-2,23,3,,95,340
Angola,37805000,180925,217,174283,6,9674,31995,2578,492430,673685
Anguilla,16000,67,258,62,13,11,1,52,201,
Antigua,104000,468,232,449,-3,15,49,7,287,1264
Argentina,46235000,156673,298,154970,1,4612,37500,1928,81696,307955
Armenia,3040000,11575,267,11388,5,396,2558,128,4626,25606
Aruba,106000,1112,98,1086,1,24,157,13,606,2662
Australia,27317000,71726,384,71140,1,1696,9894,717,20683,115566
Austria,9105000,22630,406,22449,1,306,2684,283,6919,35446
Azerbaijan,10303000,2072,5581,1846,-9,60,574,29,1737,3866
Azores,241000,813,300,804,1,22,152,15,536,1627
Bahamas,415000,1723,253,1643,-3,42,315,28,1284,4361
Bangladesh,174701000,388,470892,371,10,33,140,11,492,1116
Barbados,282000,2356,122,2318,1,40,222,30,1438,5957
Belarus,9156000,6100,1508,6070,,111,1587,81,2722,10711
Belgium,11764000,26568,446,26359,1,541,2784,330,9628,45170
Belize,411000,2494,167,2456,,98,475,52,2031,7598
Benin,14463000,15596,971,14896,6,815,2384,283,29160,49214
Bermuda,64000,425,164,391,2,71,5,153,850,
Bolivia,12567000,30258,423,29693,2,1017,9229,452,32749,79880
Bonaire,25000,148,176,142,8,28,2,116,423,
Bosnia and Herzegovina,3194000,955,3420,934,-1,12,190,16,190,1400
Botswana,2360000,2473,1002,2355,2,142,403,43,3629,6321
Brazil,203081000,926480,222,913789,2,27652,180508,12704,524507,1810952
Britain,69196000,144579,484,143033,2,2395,21632,1579,43452,229344
Bulgaria,6448000,2953,2226,2897,4,94,835,57,1817,6475
Burkina Faso,23840000,2123,12417,1920,5,85,279,55,2459,4984
Burundi,13345000,20040,713,18729,8,1663,3620,394,39820,77037
Cambodia,17091000,1213,14721,1161,5,56,571,21,1454,2956
Cameroon,28608000,44670,648,44144,3,2128,7109,579,57745,109064
Canada,41013000,124407,335,122291,3,1867,18609,1159,40981,196562
Cape Verde,604000,2280,270,2239,89,455,35,3329,7595,
Cayman Islands,86000,304,293,294,5,45,3,174,757,
Central African Republic,5916000,3352,1867,3169,11,269,402,69,9044,26006
Chad,18847000,1016,20309,928,11,74,120,25,1137,4647
Chile,20086000,88592,230,87419,2,2333,21963,974,41097,188741
Chuuk,54000,32,1929,28,22,6,7,2,56,143
Colombia,52215000,191405,277,188819,2,5775,39886,2306,147916,552793
"Congo, Dem. Republic of",105625000,280107,396,266689,9,19017,31097,4590,709804,1403269
"Congo, Republic of",6244000,10303,652,9579,7,598,1804,131,25481,33768
Cook Islands,20000,204,103,194,5,6,36,3,91,572
Costa Rica,5247000,32501,163,32175,1,852,5136,422,19495,70135
"Côte d'Ivoire",31934000,13331,2502,12761,6,532,1754,231,22040,57615
Croatia,3851000,4671,835,4612,-1,47,474,56,853,7179
Cuba,10056000,84508,120,83579,-3,1416,10155,1315,83462,194715
Curaçao,149000,1946,78,1906,-2,44,278,24,1240,4963
Cyprus,1268000,3171,406,3126,3,72,714,42,1485,5723
Czech Republic,10859000,17296,636,17066,3,310,1939,219,4827,30629
Denmark,5970000,14667,409,14579,1,213,1502,173,3780,20690
Dominica,73000,397,190,385,-2,2,57,10,438,1240
Dominican Republic,11434000,38466,300,38107,1,1115,8482,532,44933,117648
Ecuador,17893000,102793,177,100824,2,4156,25316,1196,94966,275229
El Salvador,6339000,37271,171,37135,-1,772,5638,589,20172,79753
Equatorial Guinea,1543000,2863,583,2646,9,181,386,34,7321,8482
Estonia,1375000,4122,334,4114,1,64,701,53,1383,6630
Eswatini,1222000,3420,370,3301,4,149,428,74,4551,8116
Ethiopia,129720000,12166,10982,11812,5,675,3076,204,8545,27357
Falkland Islands,4000,13,400,10,-17,1,5,1,10,21
Faroe Islands,55000,146,414,133,1,1,20,4,64,197
Fiji,901000,3001,310,2907,-1,171,557,59,3561,12047
Finland,5604000,18384,308,18224,1,284,2551,270,6801,25989
France,68128000,139932,491,138624,1,2890,21933,1461,42784,233207
French Guiana,309000,3064,105,2944,3,108,687,42,4596,11545
Gabon,2384000,4895,515,4629,4,251,742,61,8107,13343
Gambia,2760000,334,8790,314,7,10,59,6,438,774
Georgia,3695000,19372,193,19130,2,685,4009,217,4830,33706
Germany,83445000,177240,475,175678,2,2800,23199,1979,48001,277109
Ghana,33008000,159140,213,155026,3,8877,19208,2585,326967,402031
Gibraltar,34000,168,207,164,6,34,2,,27,225
Greece,10482000,27760,379,27661,,413,5003,340,6763,43584
Greenland,57000,132,460,124,9,38,5,,70,330
Grenada,127000,536,247,514,-2,9,83,9,330,1408
Guadeloupe,379000,8524,45,8407,1,233,1084,115,5413,19236
Guam,174000,761,240,726,5,11,182,9,555,1650
Guatemala,17843000,39191,459,38886,1,1109,7266,788,27129,94610
Guinea,14529000,1367,11605,1252,9,104,195,30,2495,5018
Guinea-Bissau,2197000,215,10665,206,7,13,52,4,492,792
Guyana,820000,3324,253,3238,1,98,507,45,3219,12288
Haiti,11867000,16821,715,16589,-4,754,2748,251,26370,70473
Honduras,9876000,21638,458,21546,,649,4692,406,16403,57560
Hong Kong,7497000,5530,1367,5485,1,259,1536,72,3935,9661
Hungary,9600000,21559,449,21401,1,487,2402,279,6278,38516
Iceland,394000,452,895,440,10,5,97,7,170,724
India,1441720000,59122,24716,58332,2,3102,11958,1017,57418,158775
Indonesia,281604000,32345,8958,31435,3,1205,6782,488,25288,61140
Ireland,7192000,8269,892,8063,4,125,1638,122,2712,13860
Israel,9907000,2127,4733,2093,,38,422,33,978,3762
Italy,58990000,251493,235,250754,,4261,50661,2723,76648,420423
Jamaica,2825000,11088,262,10769,,266,1566,153,6462,33310
Japan,124143000,214020,581,213719,,1936,72546,2866,87769,290165
Kazakhstan,20140000,17188,1178,17093,,410,4823,224,6402,29488
Kenya,52428000,33107,1665,31492,6,1800,4466,598,43530,80371
Kiribati,134000,155,978,137,41,29,39,2,260,430
"Korea, Republic of",51285000,106036,484,105873,,1868,54342,1245,35731,137662
Kosovo,1587000,251,6640,239,3,1,108,7,233,478
Kosrae,8000,10,889,9,4,1,24,,45,
Kyrgyzstan,7162000,5268,1394,5138,1,167,1560,78,2597,10211
Latvia,1872000,2115,899,2082,-1,23,383,29,769,3301
Lesotho,2337000,4340,569,4104,6,110,714,82,6023,11737
Liberia,5613000,8800,706,7954,9,657,1028,150,22732,42384
Liechtenstein,40000,105,392,102,9,12,1,,23,181
Lithuania,2893000,2925,998,2899,-1,42,476,39,905,4601
Luxembourg,672000,2240,304,2209,2,288,32,,800,4116
Macao,686000,413,1759,390,6,2,128,6,407,914
Madagascar,31965000,43217,768,41619,8,3358,8219,863,80802,169469
Madeira,257000,1199,217,1186,1,19,167,19,395,1921
Malawi,21655000,117602,205,105680,7,9804,8740,1997,141711,414897
Malaysia,33380000,5697,5908,5650,1,190,1628,118,5528,12315
Mali,24479000,378,67809,361,3,15,47,6,467,934
Malta,542000,958,644,841,23,162,10,,270,1503
Marshall Islands,55000,136,420,131,7,5,27,4,242,651
Martinique,350000,4847,73,4776,-1,98,795,56,3350,10581
Mauritius,1218000,2160,573,2125,2,59,349,27,1671,5036
Mayotte,321000,181,2229,144,7,6,45,3,205,363
Mexico,130861000,878990,151,866247,1,24946,165269,12310,584904,2157985
Moldova,2888000,20538,147,19673,10,461,3036,191,7284,36328
Monaco,38000,46,864,44,100,11,1,,17,96
Mongolia,3505000,449,7948,441,9,15,206,8,556,1216
Montenegro,638000,432,1541,414,12,1,141,7,119,769
Montserrat,4000,33,133,30,-14,11,1,,41,101
Mozambique,32420000,99705,352,91998,13,10775,10742,1942,163859,411440
Myanmar,56624000,5296,10845,5221,2,359,1093,98,5747,11948
Namibia,3020000,2962,1079,2800,8,229,404,50,4451,9706
Nauru,12000,17,857,14,-7,1,2,1,15,154
Nepal,29651000,2913,10324,2872,3,179,896,58,3827,7477
Netherlands,17951000,29618,610,29425,1,456,3190,340,8494,48810
Nevis,10000,78,137,73,-4,8,1,,55,265
New Caledonia,269000,2745,101,2660,1,108,366,34,2516,7833
New Zealand,5339000,14732,366,14576,1,411,2009,168,5673,27088
Nicaragua,6916000,28885,242,28536,,873,5460,440,23091,79346
Niger,26312000,378,82225,320,-1,21,52,9,427,897
Nigeria,232679000,406732,596,390623,4,18930,47987,6145,748645,857080
Niue,2000,20,105,19,4,1,9,,68,
North Macedonia,1830000,1276,1473,1242,2,24,195,23,508,2529
Norway,5562000,12047,464,11977,1,166,1565,161,3181,17986
Pakistan,241499000,1265,207117,1166,4,59,120,16,973,4389
Palau,18000,77,257,70,-3,1,26,2,124,182
Palestinian Territories,5613000,80,71962,78,3,1,15,2,57,201
Panama,4065000,18867,218,18663,2,609,3972,302,15790,53614
Papua New Guinea,11782000,5130,2394,4921,4,176,997,170,7854,42591
Paraguay,7656000,11532,678,11285,3,344,2613,183,10269,24613
Peru,34038000,138118,254,134261,3,5453,36455,1672,138835,380481
Philippines,113000000,266410,439,257621,5,12201,68764,3662,252392,680399
Pohnpei,34000,57,642,53,6,1,16,1,97,226
Poland,37582000,114894,328,114437,-1,1465,11663,1268,24114,181252
Portugal,10142000,54601,189,53651,3,1046,7239,649,20219,97193
Puerto Rico,3222000,23000,142,22697,,394,4381,226,7090,43407
Réunion,886000,3602,251,3531,2,85,621,41,1593,6837
Rodrigues,45000,69,682,66,2,1,8,1,61,174
Romania,19064000,40216,477,39965,1,959,6059,527,16291,83695
Rota,2000,4,1000,2,-50,1,1,2,2,
Rwanda,13800000,37013,403,34252,8,2656,6676,633,61953,112816
Saba,2000,20,125,16,4,1,13,,58,
"St. Barthélemy",11000,38,314,35,-5,5,1,,22,96
St. Eustatius,3000,37,103,29,7,7,1,,15,85
St. Helena,4000,119,35,113,3,43,,268,
St. Kitts,40000,246,168,238,-1,3,50,3,182,739
St. Lucia,184000,800,237,775,13,123,11,,535,2205
St. Maarten,43000,308,146,295,-2,11,45,4,184,956
St. Martin,26000,324,88,296,6,3,36,5,302,1067
St. Pierre and Miquelon,6000,18,375,16,-6,4,1,12,31
"St. Vincent & the Grenadines",110000,321,377,292,4,6,48,8,266,906
Saipan,43000,236,188,229,7,17,60,3,187,546
Samoa,206000,600,369,558,6,41,138,12,615,2587
San Marino,34000,212,167,204,5,42,2,,69,329
"São Tomé and Príncipe",235000,897,279,841,-4,62,180,14,2378,3459
Senegal,18502000,1606,11815,1566,4,51,243,28,1781,3264
Serbia,6605000,3759,1783,3705,,104,762,60,1342,7134
Seychelles,121000,373,351,345,2,4,42,5,309,1044
Sierra Leone,8642000,2659,3539,2442,4,189,355,43,4525,9081
Slovakia,5427000,11333,485,11191,,145,1139,135,2662,21419
Slovenia,2124000,1735,1233,1722,22,291,24,,522,2700
Solomon Islands,757000,1904,450,1681,-2,104,240,46,1719,10678
South Africa,61997000,105359,615,100889,3,4798,15784,1929,102414,270310
South Sudan,15254000,2319,7209,2116,22,195,332,35,4252,8313
Spain,48693000,125359,391,124427,3,2299,26976,1369,38040,208794
Sri Lanka,22037000,7013,3191,6907,-1,251,1257,95,6918,15745
Sudan,49358000,367,352557,140,-73,22,29,3,233,42
Suriname,634000,3410,201,3158,130,422,57,3372,9816
Sweden,10549000,22465,471,22383,,311,3062,274,6098,34215
Switzerland,8961000,20367,444,20180,2,356,2380,251,6542,33366
Tahiti,282000,3305,88,3202,1,90,563,46,2654,10242
Taiwan,23407000,11761,2015,11615,2,310,4364,178,8887,20475
Tanzania,61741000,22347,2910,21217,7,1458,2835,418,38968,66944
Thailand,71668000,5526,13153,5449,3,164,2121,149,5136,11118
Timor-Leste,1401000,396,3706,378,-1,25,113,5,472,1048
Tinian,2000,10,200,10,2,1,12,,26,
Togo,9515000,24471,398,23886,5,1248,3223,392,52321,70943
Tonga,104000,256,495,210,4,11,47,3,196,594
"Trinidad & Tobago",1367000,10547,131,10449,,296,1668,127,7876,26029
Türkiye,85372000,5318,17233,4954,-11,196,1706,65,2276,8239
Turks and Caicos,49000,352,149,329,3,65,6,,341,914
Tuvalu,10000,103,175,57,14,4,1,,34,222
Uganda,45900000,10261,4632,9909,5,698,1467,183,22678,36204
Ukraine,37860000,102972,377,100478,-5,1698,15655,1164,25530,173551
United States of America,336751000,1259538,272,1236274,1,23367,243002,11858,455800,2408873
Uruguay,3444000,11995,290,11871,,294,2025,150,6855,22441
Vanuatu,328000,858,511,642,8,43,109,13,1034,4046
Venezuela,28405000,138146,209,136000,3,4285,40484,1716,118742,413102
"Virgin Islands, British",39000,231,180,217,-2,32,4,,128,734
"Virgin Islands, U.S.",104000,517,208,499,-2,10,109,8,346,1264
"Wallis & Futuna Islands",11000,84,143,77,24,11,2,,76,277
Yap,11000,32,355,31,10,1,124,,161,
Zambia,21315000,258013,93,228281,8,18073,23330,3654,421860,1085831
Zimbabwe,15675000,52895,314,50000,7,3208,8636,974,90494,131488
"33 Other Lands",,214313,,210515,1.4,3901,48253,2859,85992,329181
