year,country,population,avg_publishers,peak_publishers,share_avg,share_peak
2014,Azerbaijan,9477100,1220,1282,0.0001287313629696848,0.00013527344862879995
2015,Azerbaijan,9593000,1303,1351,0.0001358282080683832,0.0001408318565620765
2016,Azerbaijan,9826397,1357,1406,0.00013809741251040436,0.0001430839808324455
2017,Azerbaijan,9810000,1414,1414,0.00014413863404689093,0.00014413863404689093
2018,Azerbaijan,9898085,1430,1430,0.00014447239036641937,0.00014447239036641937
2019,Azerbaijan,9982000,1439,1490,0.00014415948707673814,0.00014926868363053497
2020,Azerbaijan,10067000,1522,1592,0.00015118704678653024,0.00015814045892520115
2021,Azerbaijan,10119000,1634,1663,0.0001614784069572092,0.00016434430279671904
2022,Azerbaijan,10156000,1660,1674,0.00016345017723513194,0.00016482867270578967
2023,Azerbaijan,10127000,1713,1736,0.0001691517724893848,0.00017142292880418684
2024,Azerbaijan,10303000,1846,2072,0.00017917111520916238,0.00020110647384257013
