Census Year,Subject population,Religious affiliation,Religious affiliation Code,Unit,Value,Value Unit,Value Label,Null Reason
2013,Census usually resident population,No religion,No Religion,Count,1635348,number,Number of people,
2013,Census usually resident population,No religion,No Religion,Percentage of total stated,41.91948864493,percentage,% of people where information available,
2018,Census usually resident population,No religion,No Religion,Count,2264601,number,Number of people,
2018,Census usually resident population,No religion,No Religion,Percentage of total stated,48.18551179796,percentage,% of people,
2023,Census usually resident population,No religion,No Religion,Count,2576049,number,Number of people,
2023,Census usually resident population,No religion,No Religion,Percentage of total stated,51.58367479835,percentage,% of people,
2013,Census usually resident population,Buddhism (not further defined),Buddhism nfd,Count,58215,number,Number of people,
2013,Census usually resident population,Buddhism (not further defined),Buddhism nfd,Percentage of total stated,1.492246929378,percentage,% of people where information available,
2018,Census usually resident population,Buddhism (not further defined),Buddhism nfd,Count,44355,number,Number of people,
2018,Census usually resident population,Buddhism (not further defined),Buddhism nfd,Percentage of total stated,0.9437726009122,percentage,% of people,
2023,Census usually resident population,Buddhism (not further defined),Buddhism nfd,Count,45840,number,Number of people,
2023,Census usually resident population,Buddhism (not further defined),Buddhism nfd,Percentage of total stated,0.9179156346624,percentage,% of people,
2013,Census usually resident population,Zen Buddhism,Zen Buddhism,Count,72,number,Number of people,
2013,Census usually resident population,Zen Buddhism,Zen Buddhism,Percentage of total stated,0.001845603004642,percentage,% of people where information available,
2018,Census usually resident population,Zen Buddhism,Zen Buddhism,Count,1401,number,Number of people,
2018,Census usually resident population,Zen Buddhism,Zen Buddhism,Percentage of total stated,0.0298100645672,percentage,% of people,
2023,Census usually resident population,Zen Buddhism,Zen Buddhism,Count,1863,number,Number of people,
2023,Census usually resident population,Zen Buddhism,Zen Buddhism,Percentage of total stated,0.03730534091134,percentage,% of people,
2013,Census usually resident population,Mahayana Buddhism,Mahayana Buddhism,Count,,number,Number of people,not available
2013,Census usually resident population,Mahayana Buddhism,Mahayana Buddhism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Mahayana Buddhism,Mahayana Buddhism,Count,1026,number,Number of people,
2018,Census usually resident population,Mahayana Buddhism,Mahayana Buddhism,Percentage of total stated,0.02183092522908,percentage,% of people,
2023,Census usually resident population,Mahayana Buddhism,Mahayana Buddhism,Count,1227,number,Number of people,
2023,Census usually resident population,Mahayana Buddhism,Mahayana Buddhism,Percentage of total stated,0.02456986221053,percentage,% of people,
2013,Census usually resident population,Nichiren Buddhism,Nichiren Buddhism,Count,,number,Number of people,not available
2013,Census usually resident population,Nichiren Buddhism,Nichiren Buddhism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Nichiren Buddhism,Nichiren Buddhism,Count,768,number,Number of people,
2018,Census usually resident population,Nichiren Buddhism,Nichiren Buddhism,Percentage of total stated,0.01634127736446,percentage,% of people,
2023,Census usually resident population,Nichiren Buddhism,Nichiren Buddhism,Count,732,number,Number of people,
2023,Census usually resident population,Nichiren Buddhism,Nichiren Buddhism,Percentage of total stated,0.01465781510848,percentage,% of people,
2013,Census usually resident population,Theravada Buddhism,Theravada Buddhism,Count,,number,Number of people,not available
2013,Census usually resident population,Theravada Buddhism,Theravada Buddhism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Theravada Buddhism,Theravada Buddhism,Count,4851,number,Number of people,
2018,Census usually resident population,Theravada Buddhism,Theravada Buddhism,Percentage of total stated,0.1032181464778,percentage,% of people,
2023,Census usually resident population,Theravada Buddhism,Theravada Buddhism,Count,7113,number,Number of people,
2023,Census usually resident population,Theravada Buddhism,Theravada Buddhism,Percentage of total stated,0.1424331132058,percentage,% of people,
2013,Census usually resident population,Vajrayana Buddhism,Vajrayana Buddhism,Count,,number,Number of people,not available
2013,Census usually resident population,Vajrayana Buddhism,Vajrayana Buddhism,Percentage of total stated,,percentage,% of people where information available,not available
2018,Census usually resident population,Vajrayana Buddhism,Vajrayana Buddhism,Count,327,number,Number of people,
2018,Census usually resident population,Vajrayana Buddhism,Vajrayana Buddhism,Percentage of total stated,0.006957809502836,percentage,% of people,
